Chart,Sport,League,Division,Conference,School
Sports,Basketball,NCAA,Division III,Old Dominion Athletic Conference,Hampden–Sydney College
Sports,Basketball,NCAA,Division III,Old Dominion Athletic Conference,Hollins University[A 1]
Sports,Basketball,NCAA,Division III,Old Dominion Athletic Conference,University of Lynchburg
Sports,Basketball,NCAA,Division III,Old Dominion Athletic Conference,Randolph College
Sports,Basketball,NCAA,Division III,Old Dominion Athletic Conference,Randolph–Macon College
Sports,Basketball,NCAA,Division III,Old Dominion Athletic Conference,Roanoke College
Sports,Basketball,NCAA,Division III,Old Dominion Athletic Conference,Shenandoah University
Sports,Basketball,NCAA,Division III,Old Dominion Athletic Conference,Sweet Briar College[A 1][A 14]
Sports,Basketball,NCAA,Division III,Old Dominion Athletic Conference,Virginia Wesleyan University
Sports,Basketball,NCAA,Division III,Old Dominion Athletic Conference,Washington and Lee University
Sports,Basketball,NCAA,Division III,Presidents' Athletic Conference,Allegheny College
Sports,Basketball,NCAA,Division III,Presidents' Athletic Conference,Bethany College
Sports,Basketball,NCAA,Division III,Presidents' Athletic Conference,Chatham University
Sports,Basketball,NCAA,Division III,Presidents' Athletic Conference,Franciscan University of Steubenville
Sports,Basketball,NCAA,Division III,Presidents' Athletic Conference,Geneva College
Sports,Basketball,NCAA,Division III,Presidents' Athletic Conference,Grove City College
Sports,Basketball,NCAA,Division III,Presidents' Athletic Conference,Saint Vincent College
Sports,Basketball,NCAA,Division III,Presidents' Athletic Conference,Thiel College
Sports,Basketball,NCAA,Division III,Presidents' Athletic Conference,Washington & Jefferson College
Sports,Basketball,NCAA,Division III,Presidents' Athletic Conference,Waynesburg University
Sports,Basketball,NCAA,Division III,Presidents' Athletic Conference,Westminster College
Sports,Basketball,NCAA,Division III,Skyline Conference,Farmingdale State College
Sports,Basketball,NCAA,Division III,Skyline Conference,Manhattanville University
Sports,Basketball,NCAA,Division III,Skyline Conference,Mount Saint Mary College
Sports,Basketball,NCAA,Division III,Skyline Conference,University of Mount Saint Vincent
Sports,Basketball,NCAA,Division III,Skyline Conference,State University of New York Maritime College
Sports,Basketball,NCAA,Division III,Skyline Conference,State University of New York at Old Westbury
Sports,Basketball,NCAA,Division III,Skyline Conference,State University of New York at Purchase
Sports,Basketball,NCAA,Division III,Skyline Conference,St. Joseph's University
Sports,Basketball,NCAA,Division III,Skyline Conference,St. Joseph's University
Sports,Basketball,NCAA,Division III,Skyline Conference,Sarah Lawrence College
Sports,Basketball,NCAA,Division III,Skyline Conference,United States Merchant Marine Academy
Sports,Basketball,NCAA,Division III,Skyline Conference,Yeshiva University
Sports,Basketball,NCAA,Division III,Southern Athletic Association,Berry College
Sports,Basketball,NCAA,Division III,Southern Athletic Association,Centre College
Sports,Basketball,NCAA,Division III,Southern Athletic Association,Millsaps College
Sports,Basketball,NCAA,Division III,Southern Athletic Association,Oglethorpe University
Sports,Basketball,NCAA,Division III,Southern Athletic Association,Rhodes College
Sports,Basketball,NCAA,Division III,Southern Athletic Association,University of the South[A 20]
Sports,Basketball,NCAA,Division III,Southern Athletic Association,Hendrix College
Sports,Basketball,NCAA,Division III,Southern California Intercollegiate Athletic Conference,California Institute of Technology
Sports,Basketball,NCAA,Division III,Southern California Intercollegiate Athletic Conference,California Lutheran University
Sports,Basketball,NCAA,Division III,Southern California Intercollegiate Athletic Conference,Chapman University
Sports,Basketball,NCAA,Division III,Southern California Intercollegiate Athletic Conference,"Claremont McKenna College, Harvey Mudd College, and Scripps College[A 3]"
Sports,Basketball,NCAA,Division III,Southern California Intercollegiate Athletic Conference,University of La Verne
Sports,Basketball,NCAA,Division III,Southern California Intercollegiate Athletic Conference,Occidental College
Sports,Basketball,NCAA,Division III,Southern California Intercollegiate Athletic Conference,Pomona College and Pitzer College
Sports,Basketball,NCAA,Division III,Southern California Intercollegiate Athletic Conference,University of Redlands
Sports,Basketball,NCAA,Division III,Southern California Intercollegiate Athletic Conference,Whittier College
